id_cliente,idade,tempo_de_contrato_meses,frequencia_uso_mensal,ultimo_login_dias,suporte_chamados_abertos,uso_funcionalidades_premium,interacao_emails_marketing,plano,pagamento_em_dia,avaliacao_satisfacao,regiao,tempo_total_login_horas,navegador_usado,hora_ultimo_acesso,churn,codigo_cliente,constante
26,50,33,9,21,1,0.8942651529793527,7,Basic,1,2.2,Nordeste,124.22956578756663,Chrome,7,0,C00026,1
27,29,21,24,27,1,0.5587027789342909,5,Premium,1,5.0,Norte,5.6312408979694615,Firefox,12,0,C00027,1
28,39,16,28,14,1,0.26001125748518295,7,Premium,1,4.3,Sul,41.06800987075147,Chrome,20,1,C00028,1
29,61,15,29,42,1,0.3906354768510749,0,Standard,0,5.0,Nordeste,32.81440971950125,Safari,2,1,C00029,1
30,42,54,2,28,1,0.838048073254532,8,Premium,1,3.1,Sul,99.51624879233805,Chrome,8,1,C00030,1
31,66,57,24,6,1,0.5701148036193924,7,Basic,1,2.7,Sul,29.963300520839365,Chrome,6,0,C00031,1
32,44,5,27,49,2,0.03162856085747834,2,Standard,1,5.0,Sul,45.29725827421492,Chrome,18,0,C00032,1
33,59,6,11,33,2,0.8712275302445261,1,Basic,1,3.7,Centro-Oeste,129.4240022202794,Firefox,9,0,C00033,1
34,45,38,25,31,1,0.5384640315099133,8,Standard,1,3.0,Sudeste,2.5320460888782788,Chrome,21,0,C00034,1
35,33,3,15,1,1,0.1961940691121159,2,Premium,1,3.6,Centro-Oeste,36.73507665283814,Firefox,5,0,C00035,1
36,32,48,11,25,1,0.7152068422239803,5,Basic,1,3.2,Sul,128.82934373988505,Firefox,5,0,C00036,1
37,64,12,7,44,2,0.5338916798369632,1,Premium,1,3.8,Norte,5.171187653392113,Edge,15,0,C00037,1
38,68,36,4,10,2,0.18933966447672235,4,Basic,1,4.8,Norte,107.71117495450953,Edge,7,0,C00038,1
39,61,33,10,24,4,0.6500881260886847,5,Standard,1,3.5,Sul,1.032298291799576,Firefox,12,0,C00039,1
40,69,36,9,18,2,0.6414044988007597,8,Basic,1,1.4,Norte,86.48035383280993,Chrome,20,0,C00040,1
41,20,33,2,19,4,0.9547220604357406,3,Basic,0,2.7,Centro-Oeste,102.73141332622188,Safari,3,0,C00041,1
42,54,31,26,32,3,0.26426431202102785,9,Basic,0,3.2,Norte,0.5057098996528839,Edge,18,0,C00042,1
43,68,21,22,16,3,0.5483682665089453,8,Standard,1,3.4,Sudeste,12.71028070893234,Firefox,3,0,C00043,1
44,24,27,8,51,5,0.32102664270512904,6,Standard,1,1.5,Sul,27.44400082382057,Safari,17,0,C00044,1
45,38,27,11,29,1,0.29818046741410964,8,Standard,1,3.0,Nordeste,30.384221023442713,Edge,19,0,C00045,1
46,26,8,5,17,1,0.5056413555921396,2,Standard,1,3.4,Sudeste,49.437999519190186,Safari,17,0,C00046,1
47,56,56,18,31,0,0.7148596011684303,8,Premium,1,2.8,Norte,3.9887549957471458,Safari,6,0,C00047,1
48,35,37,15,39,1,0.6048136933941096,6,Standard,1,3.5,Sul,0.9461066729870513,Firefox,17,0,C00048,1
49,21,32,20,44,3,0.1173353826166349,6,Standard,1,4.8,Nordeste,10.737404902935769,Chrome,12,0,C00049,1
50,42,26,22,3,1,0.9223768689125312,5,Premium,1,3.0,Sudeste,77.54910237846599,Firefox,18,0,C00050,1
51,31,2,23,31,3,0.708744049351721,9,Standard,1,1.8,Norte,19.214298042065888,Safari,14,0,C00051,1
52,67,12,28,18,3,0.579326599589828,1,Premium,1,5.0,Norte,63.09777884613871,Safari,1,0,C00052,1
53,26,22,13,2,1,0.14423476080844888,6,Basic,1,2.9,Sul,25.544862085467834,Chrome,20,0,C00053,1
54,43,17,27,37,1,0.1348886332905841,7,Basic,1,3.2,Norte,55.31859262200325,Chrome,12,0,C00054,1
55,19,7,3,27,2,0.293460274348045,9,Premium,0,3.5,Sul,0.5147151784050037,Edge,5,0,C00055,1
56,37,43,17,37,1,0.923095064484829,0,Premium,1,2.1,Nordeste,2.4951713866576553,Firefox,7,1,C00056,1
57,45,4,9,53,1,0.14697362782508694,7,Premium,1,3.7,Centro-Oeste,65.54385043356177,Firefox,17,0,C00057,1
58,64,37,17,5,4,0.6546667581810768,7,Premium,1,3.0,Sul,137.29993733122734,Edge,16,0,C00058,1
59,24,38,11,55,2,0.6448760841685469,4,Premium,0,3.7,Sudeste,7.003366414382604,Chrome,2,0,C00059,1
60,61,32,18,39,0,0.0919464326609668,3,Standard,0,4.1,Centro-Oeste,22.708858363592935,Edge,6,0,C00060,1
61,25,11,7,56,2,0.7073360200358642,1,Premium,1,4.7,Centro-Oeste,78.93275202092182,Chrome,9,1,C00061,1
62,64,1,0,16,2,0.4762164389727275,2,Premium,0,5.0,Sudeste,6.291701314287823,Edge,22,0,C00062,1
63,52,25,13,41,4,0.5007559482058523,2,Basic,1,3.3,Centro-Oeste,18.11583624683414,Chrome,8,1,C00063,1
64,31,42,22,55,2,0.005490841075032171,5,Standard,1,2.9,Centro-Oeste,13.935753709641602,Safari,15,0,C00064,1
65,34,52,5,4,1,0.8967980674285488,5,Basic,1,2.3,Sudeste,35.28087385391256,Edge,10,1,C00065,1
66,53,24,13,18,4,0.610370017791205,8,Standard,1,4.1,Sudeste,8.071273293911805,Edge,8,0,C00066,1
67,67,53,1,42,1,0.6045279903815486,7,Premium,1,3.5,Sul,35.6962940342942,Safari,1,1,C00067,1
68,57,43,8,41,0,0.38911682327547537,8,Standard,1,3.3,Sul,54.147511795731205,Edge,16,0,C00068,1
69,21,56,28,34,0,0.7017648196579092,0,Standard,1,2.3,Sul,33.508330583564515,Edge,21,0,C00069,1
70,19,17,11,21,1,0.8330275397682947,9,Basic,0,2.8,Centro-Oeste,6.227556636406052,Edge,5,0,C00070,1
71,23,8,4,23,3,0.49500606168183403,0,Basic,1,4.1,Sul,1.5968583114662742,Edge,10,1,C00071,1
72,59,59,1,9,4,0.5450831757638718,3,Premium,1,4.4,Centro-Oeste,208.7815066354172,Firefox,8,1,C00072,1
73,21,45,18,1,1,0.20835400726175246,4,Basic,1,3.7,Centro-Oeste,60.913690897892906,Chrome,16,0,C00073,1
74,46,27,6,27,2,0.3532030981744907,6,Standard,1,3.6,Centro-Oeste,102.84836901611942,Safari,14,0,C00074,1
75,35,52,6,40,2,0.46816083178946866,2,Basic,1,4.8,Sudeste,0.17648365075632377,Safari,4,1,C00075,1
76,43,18,9,36,1,0.6612747666716123,0,Standard,1,4.4,Nordeste,81.82784205142289,Firefox,13,0,C00076,1
77,61,27,16,52,5,0.9317432337007358,7,Basic,1,4.4,Nordeste,136.10854003351636,Chrome,2,0,C00077,1
78,51,22,25,16,1,0.13707954297867087,4,Premium,1,2.7,Norte,12.062441283478766,Chrome,17,0,C00078,1
79,27,16,13,5,2,0.5290334675291192,4,Premium,1,5.0,Centro-Oeste,16.839601547064873,Safari,4,0,C00079,1
80,53,2,26,42,4,0.6109626389976198,5,Standard,1,5.0,Centro-Oeste,45.265342837309696,Safari,8,0,C00080,1
81,31,5,10,58,2,0.8254977359778104,8,Basic,1,3.9,Sul,9.189074232061097,Chrome,12,0,C00081,1
82,48,18,27,4,1,0.8435771862207732,1,Basic,1,2.8,Centro-Oeste,1.5462072559587139,Safari,12,0,C00082,1
83,65,3,19,38,2,0.6606879021981275,3,Basic,1,2.6,Sul,74.93792343887385,Safari,1,0,C00083,1
84,32,27,5,6,3,0.19462778820367965,3,Standard,1,3.9,Sul,84.68948913709772,Edge,20,0,C00084,1
85,25,54,7,31,0,0.7798118108622146,6,Premium,0,3.8,Nordeste,46.462056943618975,Chrome,16,1,C00085,1
86,31,17,18,3,1,0.5785498820982448,5,Premium,1,3.3,Centro-Oeste,30.556349627317203,Edge,10,1,C00086,1
87,40,16,29,20,3,0.9613339006890892,5,Basic,1,2.4,Sul,43.71128569804827,Chrome,23,1,C00087,1
88,57,6,18,41,5,0.9532163414972903,9,Standard,1,3.9,Centro-Oeste,25.553574056855975,Firefox,15,0,C00088,1
89,38,51,23,31,1,0.5516633414990123,0,Basic,1,3.3,Sul,15.011101725459945,Edge,0,1,C00089,1
90,33,7,23,55,1,0.9433607828347471,8,Standard,1,2.0,Sudeste,4.940543950057586,Firefox,10,1,C00090,1
91,62,50,23,17,1,0.025734421397003993,6,Standard,0,3.5,Norte,16.420334248662776,Edge,17,0,C00091,1
92,35,14,16,32,3,0.915504609389127,2,Basic,1,4.4,Nordeste,39.99358589558715,Firefox,6,0,C00092,1
93,64,38,23,13,2,0.9645575684127283,9,Standard,1,3.9,Sudeste,1.299487827621983,Firefox,0,1,C00093,1
94,41,40,23,5,1,0.9790757481145589,3,Basic,1,3.2,Nordeste,95.18809979606418,Firefox,7,0,C00094,1
95,43,15,17,10,3,0.7779975862699072,0,Standard,1,5.0,Nordeste,35.257598828248916,Firefox,13,0,C00095,1
96,42,47,11,45,0,0.18066070181292115,1,Premium,1,2.8,Nordeste,42.470810558536286,Safari,13,1,C00096,1
97,62,47,8,19,2,0.9746577352999906,5,Standard,1,3.9,Nordeste,14.490143436341473,Chrome,1,1,C00097,1
98,58,48,22,28,1,0.4279552257858519,6,Basic,1,3.0,Nordeste,241.220395968372,Safari,12,0,C00098,1
99,46,33,23,57,1,0.47123230482538314,4,Basic,1,3.6,Sudeste,28.618988522158695,Firefox,0,0,C00099,1
100,32,43,15,34,3,0.015126012680594103,1,Basic,1,3.1,Nordeste,11.452520004349461,Chrome,19,1,C00100,1
101,62,27,17,15,5,0.34332792845934146,6,Standard,1,4.8,Sul,153.78881185133383,Edge,2,0,C00101,1
102,18,29,15,47,3,0.2571450194673559,6,Premium,1,3.8,Sudeste,0.5445781664353759,Safari,1,0,C00102,1
103,42,57,15,6,0,0.4498145064219846,2,Standard,1,3.7,Nordeste,163.22561625839788,Firefox,14,0,C00103,1
104,24,37,3,39,1,0.26918487080938436,0,Standard,1,3.1,Norte,19.089333336462335,Chrome,14,1,C00104,1
105,26,5,22,58,3,0.4472815848225967,0,Standard,1,3.3,Centro-Oeste,68.08853658873925,Edge,14,0,C00105,1
106,41,29,21,59,2,0.14756596290740254,7,Premium,1,4.2,Sudeste,19.72563901309546,Firefox,12,1,C00106,1
107,18,32,6,35,2,0.9520270285877378,6,Standard,1,4.2,Sul,46.73442146437569,Safari,8,0,C00107,1
108,61,53,0,43,6,0.6641299241153291,3,Standard,1,3.8,Sul,41.81026039306806,Safari,5,0,C00108,1
109,25,6,23,43,2,0.9884533346974541,3,Premium,1,4.2,Norte,87.45939473928715,Edge,22,1,C00109,1
110,41,2,28,30,1,0.004817682612547669,0,Standard,1,4.9,Centro-Oeste,45.36370277894775,Firefox,22,0,C00110,1
111,28,6,22,41,2,0.8358120606456861,0,Standard,1,4.1,Centro-Oeste,107.68240974177559,Chrome,20,0,C00111,1
112,68,46,28,43,1,0.08427093578997025,0,Standard,1,1.7,Nordeste,89.6773545220708,Edge,20,1,C00112,1
113,34,43,19,42,3,0.7738437063094515,7,Basic,0,3.7,Centro-Oeste,27.808784155911926,Chrome,5,0,C00113,1
114,25,4,0,42,3,0.9224713405332751,1,Premium,1,5.0,Sudeste,42.28130829683737,Edge,7,0,C00114,1
115,52,56,7,46,1,0.1406792518015475,6,Basic,1,4.5,Centro-Oeste,86.80289345511157,Edge,10,0,C00115,1
116,52,29,25,5,1,0.9561459318705028,9,Premium,1,3.5,Nordeste,113.80797357922117,Edge,3,0,C00116,1
117,50,59,22,28,3,0.43626213765057387,6,Standard,0,4.2,Sul,4.666167763136674,Chrome,9,0,C00117,1
118,22,25,7,26,3,0.34420775013832183,6,Premium,1,3.2,Centro-Oeste,82.6345461649212,Edge,5,1,C00118,1
119,59,9,9,42,1,0.7957659110876022,4,Standard,1,4.1,Nordeste,38.64339518224456,Safari,21,1,C00119,1
120,56,56,0,1,5,0.8530787285568,5,Basic,0,4.2,Nordeste,47.445741721583204,Safari,6,0,C00120,1
121,58,3,20,55,2,0.8365195608880742,7,Standard,1,5.0,Norte,24.37278581032105,Chrome,16,1,C00121,1
122,45,26,24,21,2,0.6240222344197787,3,Standard,0,1.9,Centro-Oeste,3.7740360370194828,Safari,6,0,C00122,1
123,24,48,20,58,2,0.2961998672332654,2,Basic,1,2.4,Sul,145.608931887845,Edge,6,0,C00123,1
124,26,43,28,8,3,0.27654538912834326,1,Premium,1,3.1,Nordeste,137.78673992817963,Firefox,2,0,C00124,1
125,25,27,13,10,2,0.22865544933861404,3,Basic,1,4.2,Centro-Oeste,10.915525397518602,Safari,20,0,C00125,1
126,29,36,13,15,3,0.14647328932857584,0,Premium,1,4.5,Sudeste,24.41080338358219,Edge,21,0,C00126,1
127,51,32,9,44,0,0.39257458023515956,3,Premium,1,3.6,Sudeste,44.89782014630241,Edge,1,0,C00127,1
128,50,1,27,12,0,0.8560482402999942,3,Standard,1,1.6,Sul,41.270859760633876,Edge,1,0,C00128,1
129,65,57,18,53,3,0.9961723274321523,8,Basic,1,4.8,Sudeste,6.575521299699011,Safari,5,0,C00129,1
130,40,53,24,53,4,0.6935946804963083,9,Premium,1,3.9,Nordeste,0.5542173287470612,Safari,4,1,C00130,1
131,41,54,28,59,3,0.15615163479219818,8,Basic,1,3.9,Norte,195.89762802479908,Chrome,15,0,C00131,1
132,54,16,15,17,4,0.6735630516580412,5,Basic,1,1.2,Nordeste,205.4636111746102,Chrome,4,0,C00132,1
133,52,51,8,52,0,0.27535841590135834,2,Basic,0,5.0,Sudeste,40.11741422978293,Firefox,2,0,C00133,1
134,61,48,19,24,2,0.71763439642425,9,Basic,1,3.3,Norte,29.108217747190977,Safari,20,0,C00134,1
135,57,11,15,32,2,0.23628586055458978,8,Standard,1,4.7,Centro-Oeste,159.23752919009425,Firefox,20,0,C00135,1
136,39,26,19,51,2,0.16406499718242284,5,Standard,1,4.3,Nordeste,31.810225831799745,Safari,13,0,C00136,1
137,44,40,26,9,2,0.634474076701198,8,Standard,1,2.9,Sul,31.963248085777945,Safari,15,1,C00137,1
138,52,55,7,57,3,0.685151236309881,9,Premium,1,3.9,Sul,6.56006471042773,Chrome,3,0,C00138,1
139,18,1,6,29,2,0.18477204307785577,8,Basic,1,4.6,Norte,22.7224643813062,Firefox,23,0,C00139,1
140,52,26,10,50,2,0.5120080207827162,3,Standard,1,1.8,Sudeste,52.19188300688937,Safari,22,0,C00140,1
141,54,28,20,48,1,0.8806492067601014,2,Standard,0,4.5,Norte,65.54380941477987,Chrome,9,0,C00141,1
142,64,53,5,0,3,0.6848166996689398,0,Standard,1,2.2,Sudeste,272.2739765770491,Safari,15,0,C00142,1
143,31,58,14,32,0,0.6758802497365326,4,Premium,0,2.6,Sul,78.14067610692564,Edge,16,0,C00143,1
144,20,9,18,48,4,0.7235538794215266,3,Basic,1,2.4,Sudeste,57.11387846185813,Safari,12,0,C00144,1
145,18,59,13,14,0,0.35002191825038087,2,Basic,1,5.0,Sudeste,10.052182925445958,Firefox,0,1,C00145,1
146,22,44,14,28,2,0.2059457910050133,7,Standard,0,3.7,Sudeste,22.29476210827637,Chrome,6,0,C00146,1
147,43,22,5,1,1,0.7335017414447982,9,Basic,1,1.5,Norte,64.73114960202658,Firefox,5,0,C00147,1
148,31,8,28,10,2,0.8119408826811959,6,Premium,1,2.8,Centro-Oeste,32.32073337907331,Edge,10,0,C00148,1
149,56,58,23,52,5,0.8958062741556364,1,Standard,1,2.8,Nordeste,71.83297718295925,Chrome,6,0,C00149,1
150,44,49,9,33,2,0.7952389802956525,8,Basic,0,3.6,Nordeste,54.21519904241683,Safari,14,1,C00150,1
151,26,42,13,51,1,0.34608912547599757,7,Premium,1,2.8,Nordeste,31.401570206554247,Safari,4,0,C00151,1
152,32,27,15,40,0,0.4669727572615333,9,Standard,1,2.0,Nordeste,20.39965787056183,Safari,22,1,C00152,1
153,32,39,12,18,3,0.77990973881372,3,Basic,1,4.9,Sudeste,8.732463390105007,Safari,22,0,C00153,1
154,43,19,10,1,1,0.5375948845910702,3,Premium,0,3.4,Nordeste,29.07727698469083,Edge,12,0,C00154,1
155,59,25,24,47,0,0.5571564212766161,6,Basic,1,3.3,Sudeste,56.043761311675986,Chrome,22,0,C00155,1
156,30,38,2,19,2,0.9425452906553687,6,Premium,1,5.0,Centro-Oeste,3.765802864706723,Edge,16,1,C00156,1
157,68,21,7,40,1,0.9576081645678092,3,Standard,1,5.0,Centro-Oeste,19.075150489950534,Safari,6,0,C00157,1
158,49,24,27,51,0,0.7612158930382047,0,Standard,0,3.4,Norte,7.227493434422513,Edge,5,0,C00158,1
159,56,24,2,30,1,0.809566711113859,5,Basic,1,2.4,Nordeste,17.261207771529563,Edge,5,0,C00159,1
160,66,19,1,59,0,0.26447828715345134,5,Standard,1,3.5,Centro-Oeste,82.2262747533768,Chrome,10,1,C00160,1
161,69,50,20,52,3,0.5938165751353129,2,Premium,1,5.0,Nordeste,25.177909175642636,Chrome,7,0,C00161,1
162,49,47,13,3,3,0.4779256521863383,4,Premium,1,2.6,Centro-Oeste,102.76014251515497,Safari,3,0,C00162,1
163,21,2,19,28,1,0.04104808757688638,7,Standard,1,2.5,Centro-Oeste,65.80780358255252,Firefox,19,0,C00163,1
164,47,14,28,55,1,0.8835351967971531,3,Standard,1,3.7,Sul,22.82959886094753,Safari,13,1,C00164,1
165,54,53,20,29,5,0.29571237742842627,8,Premium,1,3.4,Sul,8.841201219234135,Edge,13,0,C00165,1
166,40,32,21,12,4,0.9317678006158234,9,Premium,1,3.8,Centro-Oeste,0.10100445873235545,Firefox,12,0,C00166,1
167,56,42,14,14,2,0.6364990864084794,4,Premium,1,3.7,Sudeste,27.655847229308307,Edge,16,0,C00167,1
168,62,32,2,19,1,0.8130488034265246,4,Basic,1,3.4,Nordeste,35.022048996798745,Chrome,18,0,C00168,1
169,32,28,0,33,2,0.45876919689461837,6,Basic,1,3.0,Sul,29.717804098497396,Edge,4,0,C00169,1
170,60,48,14,27,2,0.18741489791886046,0,Basic,1,3.1,Centro-Oeste,22.851750318264727,Firefox,11,0,C00170,1
171,46,39,19,19,4,0.8747196541775767,5,Premium,0,2.4,Sul,64.92472154477932,Safari,0,0,C00171,1
172,53,40,21,49,3,0.7826278134241573,1,Standard,0,3.3,Sul,4.948338154331198,Firefox,16,0,C00172,1
173,30,42,1,24,1,0.7545438745936843,2,Premium,1,3.4,Centro-Oeste,5.714326231938434,Safari,23,0,C00173,1
174,49,47,17,26,2,0.21278987468398836,7,Basic,1,3.2,Nordeste,39.60403408802093,Chrome,12,0,C00174,1
175,24,40,0,29,2,0.5216473653270756,3,Basic,1,3.9,Centro-Oeste,1.5586844626867484,Firefox,8,0,C00175,1
176,68,13,8,55,0,0.3226282640282476,6,Standard,0,3.3,Nordeste,25.31317927109718,Firefox,11,1,C00176,1
177,39,12,2,40,4,0.612776656511185,9,Premium,1,3.7,Norte,10.924578583922836,Chrome,16,1,C00177,1
178,45,8,1,19,3,0.5324274465928306,9,Basic,1,3.5,Sudeste,11.921889313978504,Edge,10,0,C00178,1
179,19,15,3,0,3,0.17738226866696827,4,Premium,1,3.6,Norte,33.127522144218354,Chrome,12,1,C00179,1
180,59,26,15,34,5,0.6237300214824921,1,Standard,1,2.4,Nordeste,38.45024697167422,Firefox,11,0,C00180,1
181,62,12,21,54,1,0.038176098258074,0,Standard,1,2.5,Nordeste,26.68269148432591,Chrome,0,0,C00181,1
182,23,43,0,48,2,0.07073767113092977,4,Standard,1,4.6,Sul,7.201997989298099,Firefox,11,0,C00182,1
183,45,51,8,42,2,0.18278026227734845,3,Premium,1,3.8,Sudeste,31.785879505917453,Chrome,13,0,C00183,1
184,45,46,24,23,2,0.5788041994583298,5,Premium,0,2.5,Sul,80.36929588618429,Firefox,23,0,C00184,1
185,61,27,7,24,2,0.7594874322625323,2,Standard,0,1.7,Nordeste,56.59278664317983,Firefox,2,1,C00185,1
186,61,18,5,39,2,0.7824708944177488,1,Premium,0,4.4,Centro-Oeste,36.53349031773452,Safari,12,0,C00186,1
187,37,45,19,52,2,0.2766382562402999,2,Standard,1,4.2,Sudeste,7.6537669985403385,Chrome,17,0,C00187,1
188,47,36,17,11,0,0.3842060322377311,3,Premium,1,3.0,Sudeste,46.75906583016165,Edge,10,1,C00188,1
189,28,49,15,10,1,0.23375045899170144,5,Premium,1,3.6,Norte,35.14271313687266,Edge,9,0,C00189,1
190,45,51,7,29,1,0.03632146445889739,8,Standard,1,3.7,Norte,87.2333691034689,Firefox,11,0,C00190,1
191,42,27,22,59,2,0.4950570363394574,1,Standard,1,2.6,Norte,8.27711308070463,Edge,20,0,C00191,1
192,56,9,27,12,0,0.5450642220769873,5,Standard,1,3.5,Sul,24.58588492143034,Firefox,17,0,C00192,1
193,50,55,29,46,0,0.935083773178369,8,Premium,0,3.4,Sudeste,5.314649109476177,Firefox,15,0,C00193,1
194,18,39,3,24,1,0.7118775175753816,1,Standard,0,2.5,Nordeste,37.13544760307796,Firefox,6,1,C00194,1
195,44,1,2,51,1,0.9343030959519507,0,Basic,1,3.7,Sul,116.91998211419758,Edge,4,0,C00195,1
196,69,7,14,24,3,0.27950338590276136,7,Premium,0,3.8,Norte,144.11939773418354,Edge,8,0,C00196,1
197,30,26,5,16,1,0.724609334156487,3,Premium,1,2.4,Sul,1.5345397617583272,Firefox,9,0,C00197,1
198,58,7,0,11,0,0.5982913552963027,1,Standard,1,4.4,Sudeste,23.027652391141707,Edge,5,0,C00198,1
199,20,52,17,58,2,0.2967974435652082,7,Premium,1,2.9,Sudeste,19.686180298845578,Firefox,7,0,C00199,1
200,56,7,22,50,2,0.21114969293804753,4,Premium,1,2.8,Norte,50.15122465680081,Chrome,17,0,C00200,1
201,23,8,10,51,2,0.2910397677414793,7,Premium,0,4.2,Sul,61.63008501315008,Firefox,1,1,C00201,1
202,25,16,2,10,1,0.9796850433102086,3,Basic,1,4.2,Sudeste,10.412694165266412,Chrome,8,0,C00202,1
203,44,3,29,9,0,0.02321157558594711,3,Basic,1,2.7,Centro-Oeste,10.160039125906692,Edge,3,1,C00203,1
204,26,45,12,16,1,0.9048335913507658,4,Standard,1,3.9,Nordeste,16.73206652787405,Chrome,2,0,C00204,1
205,54,10,16,59,3,0.771685719213024,0,Premium,1,3.9,Sul,1.2905616161263893,Edge,14,1,C00205,1
206,50,50,17,53,1,0.543590730290969,9,Basic,1,3.1,Sudeste,42.61334670397806,Firefox,14,0,C00206,1
207,68,7,25,44,1,0.8582438277648186,2,Standard,0,4.1,Norte,59.807598298586214,Edge,3,1,C00207,1
208,59,21,25,15,2,0.05196666287833773,7,Standard,1,1.6,Centro-Oeste,0.24975090398014527,Edge,1,0,C00208,1
209,61,53,13,51,1,0.5442272582884311,3,Standard,1,2.9,Nordeste,28.362202692532268,Safari,3,0,C00209,1
210,41,37,24,19,0,0.285423303028957,0,Premium,1,4.4,Sul,30.508471453959206,Safari,9,0,C00210,1
211,32,31,6,48,0,0.009804615908675207,5,Standard,1,3.0,Centro-Oeste,47.10349124509856,Edge,9,0,C00211,1
212,49,23,6,4,0,0.6190471010497437,5,Premium,1,2.4,Nordeste,69.766382024413,Chrome,23,0,C00212,1
213,49,57,13,40,3,0.6577606321114373,1,Standard,1,1.0,Sul,100.75994115018787,Edge,20,0,C00213,1
214,41,27,25,53,1,0.5907760234077412,7,Standard,0,4.5,Nordeste,8.511413043971618,Safari,7,1,C00214,1
215,58,56,23,55,4,0.39049418609993625,3,Premium,1,2.8,Sul,25.20546175974996,Edge,21,0,C00215,1
216,69,22,14,31,2,0.8042717447477858,7,Premium,1,2.0,Centro-Oeste,45.66569276239312,Edge,6,0,C00216,1
217,66,39,11,26,2,0.3431587372459054,7,Basic,1,3.9,Nordeste,33.60708952698339,Firefox,1,0,C00217,1
218,66,57,11,3,2,0.6039582564595072,2,Standard,1,5.0,Sul,54.67789552886715,Firefox,1,0,C00218,1
219,69,27,7,40,1,0.9960579197075955,4,Premium,1,3.6,Sudeste,41.912802112017346,Firefox,23,0,C00219,1
220,29,54,15,47,2,0.8458484350362864,7,Standard,1,1.5,Sudeste,19.839756156719055,Chrome,13,0,C00220,1
221,56,49,8,6,1,0.6442750662967254,0,Standard,1,2.7,Centro-Oeste,125.07915624535266,Chrome,23,0,C00221,1
222,19,4,1,45,2,0.674169557509231,9,Basic,1,4.5,Norte,86.42190881485972,Chrome,1,0,C00222,1
223,20,24,13,13,1,0.8410011916937556,3,Basic,1,3.7,Centro-Oeste,65.20796476093493,Chrome,19,0,C00223,1
